trajetId,start_place,end_place,price
513,Bandjoun,Bonamoussadi,6300
819,Kousseri,Belabo,4300
128,Bogo,Limbe,7100
1,Kribi,Mbandjock,7500
287,Mbandjock,Messa,2100
330,Fontem,Figuif,4100
686,Kumba,Bonabéri,9300
917,Bonamoussadi,Mokolo,1900
57,Guider,Gazawa,6100
761,Banga Bakundu,Beti,2300
738,Bali,Nkongsamba,4900
525,Bandjoun,Mokolo,8100
343,Bandjoun,Buea,6700
920,Yagoua,Mora,8300
701,Bogo,Guider,7900
68,Dibombari,Guider,4500
765,Beti,Yaounde,9700
479,Bafang,Bogo,6100
992,Bali,Gazawa,2100
312,Limbe,Banga Bakundu,2900
283,Batibo,Mora,6900
907,Figuif,Buea,1300
55,Mokolo,Guider,2700
393,Muyuka,Bafoussam,4100
801,Mora,Figuif,700
273,Campo,Boutours,2300
893,Meiganga,Yaounde,2500
294,Yagoua,Edéa,7500
222,Mbanga,Bandjoun,8100
103,Fontem,Bertoua,2500
365,Bali Nyonga,Buea,5500
763,Fontem,Bonamoussadi,7100
457,Dibombari,Kousseri,5900
47,Campo,Melong,700
698,Beti,Bali Nyonga,2300
556,Bonaberi,Kribi,700
95,Loum,Mbouda,300
913,Loum,Dibombari,3700
962,Meiganga,Mbandjock,8700
715,Batibo,Bonamoussadi,1100
158,Mbouda,Nkongsamba,2700
7,Bali,Bamenda,8700
226,Maroua,Campo,7500
756,Bonamoussadi,Bonaberi,5300
655,Edéa,Bafia,8300
852,Yaounde,Gazawa,3500
375,Bonaberi,Bonaberi,8500
942,Maroua,Belo,100
805,Bertoua,Maroua,9100
765,Belabo,Campo,5500
93,Messa,Garoua,6300
158,Mokolo,Bonanjo,3700
658,Bali,Yagoua,5300
139,Bonabéri,Bonanjo,4300
502,Belabo,Maroua,4700
707,Bogo,Bonakouamouang,1300
782,Boutours,Kumba,300
419,Meiganga,Bonakouamouang,500
956,Meiganga,Bandjoun,2700
857,Nkongsamba,Figuif,9500
56,Mutengene,Loum,8900
394,Bimbia,Mbanga,9300
236,Dibombari,Kribi,8900
627,Boutours,Yagoua,4300
353,Buea,Bonabéri,3700
343,Bertoua,Douala,2700
577,Bertoua,Kousseri,6300
475,Gazawa,Bafoussam,7900
241,Limbe,Kribi,8900
977,Melong,Gazawa,900
892,Belabo,Bafang,5300
95,Bogo,Bonaberi,700
281,Yagoua,Bonanjo,300
362,Bogo,Figuif,6100
161,Bafang,Boutours,3300
542,Essos,Edéa,500
500,Bandjoun,Limbe,2500
192,Meiganga,Bonabéri,4700
168,Essos,Bonanjo,2500
167,Buea,Garoua,4900
839,Mutengene,Buea,1700
150,Kumba,Mbouda,2500
846,Limbe,Maroua,2100
341,Bonabéri,Dibombari,9300
879,Mbandjock,Kribi,8100
927,Meiganga,Garoua,8900
193,Yaounde,Campo,900
797,Belo,Nanga-Eboko,5700
917,Mokolo,Nkongsamba,3300
124,Bafoussam,Limbe,5100
224,Bertoua,Figuif,8100
970,Maroua,Kousseri,1300
45,Loum,Bonaberi,2700
703,Gazawa,Meiganga,2300
111,Limbe,Mbalmayo,5500
584,Boutours,Bafia,100
156,Mutengene,Batibo,1300
351,Mbalmayo,Bonaberi,6100
766,Kumba,Bamenda,6500
218,Mbanga,Loum,4500
715,Nkongsamba,Bertoua,2100
76,Messa,Bafoussam,5500
404,Campo,Maroua,4500
434,Nanga-Eboko,Campo,6100
70,Yagoua,Loum,900
213,Meiganga,Guider,9500
35,Bandjoun,Figuif,9300
34,Guider,Belo,7900
7,Beti,Mbalmayo,7700
547,Mokolo,Campo,500
860,Kousseri,Gazawa,8900
979,Kribi,Beti,4700
374,Nkongsamba,Yagoua,6900
663,Bafia,Gazawa,8300
244,Figuif,Yaounde,5500
716,Dibombari,Campo,7500
62,Maroua,Garoua,8900
108,Boutours,Mora,5500
146,Nkongsamba,Bonamoussadi,300
527,Kribi,Buea,6500
512,Nkongsamba,Nanga-Eboko,3700
399,Bertoua,Buea,3700
26,Boutours,Bafang,6500
148,Douala,Mbouda,7500
124,Bandjoun,Bimbia,700
29,Garoua,Banga Bakundu,4300
125,Banga Bakundu,Bonaberi,6300
215,Kumba,Bonakouamouang,9900
72,Kribi,Belo,5700
10,Banga Bakundu,Douala,2300
900,Bonabéri,Mbandjock,7100
333,Muyuka,Edéa,8900
991,Bimbia,Yaounde,8500
35,Bonanjo,Belabo,100
115,Nanga-Eboko,Figuif,8300
263,Bonanjo,Messa,5700
500,Bonabéri,Gazawa,7900
839,Yaounde,Kribi,4300
175,Nanga-Eboko,Bafoussam,8700
970,Mbanga,Loum,3900
430,Maroua,Messa,6700
987,Bonanjo,Gazawa,5500
492,Yaounde,Bali Nyonga,8500
192,Campo,Banga Bakundu,6300
784,Bonamoussadi,Mbanga,2500
666,Mutengene,Bonanjo,8300
160,Belabo,Mbandjock,2100
204,Bamenda,Bimbia,7900
213,Bafang,Loum,500
760,Bafia,Batibo,5100
709,Bamenda,Essos,2500
499,Batibo,Bali,6700
961,Beti,Bonanjo,4500
610,Kumba,Bonakouamouang,9300
971,Yagoua,Bali Nyonga,4300
426,Gazawa,Garoua,9300
889,Figuif,Bogo,8100
903,Mutengene,Bonamoussadi,1300
26,Muyuka,Mbanga,2700
355,Bertoua,Garoua,8100
921,Boutours,Nanga-Eboko,1700
749,Limbe,Douala,9500
312,Nkongsamba,Belo,1700
996,Mora,Bogo,1100
643,Bonabéri,Muyuka,2300
150,Belabo,Mbouda,1700
16,Garoua,Bonakouamouang,1500
188,Mutengene,Bonabéri,9900
184,Buea,Yaounde,700
448,Bonanjo,Mbalmayo,4900
688,Buea,Bonamoussadi,6700
125,Buea,Mbandjock,6500
430,Kumba,Mbanga,9700
578,Belo,Bali Nyonga,7500
411,Bali,Bafoussam,1700
624,Kumba,Loum,1500
957,Bonakouamouang,Bafia,6900
57,Bonakouamouang,Mora,4300
226,Batibo,Bafoussam,1500
259,Dibombari,Batibo,9900
837,Messa,Bandjoun,3700
263,Yaounde,Kumba,6900
450,Yaounde,Bogo,7900
811,Boutours,Mbandjock,500
249,Bamenda,Meiganga,7900
220,Bali Nyonga,Bertoua,1900
180,Kumba,Mutengene,6500
486,Bafang,Bertoua,6500
653,Messa,Yaounde,2100
217,Essos,Nanga-Eboko,1100
334,Messa,Beti,1900
81,Bonamoussadi,Mokolo,8100
567,Bonanjo,Nanga-Eboko,5100
846,Buea,Mbanga,4700
247,Belabo,Yagoua,3500
170,Bertoua,Bali,9900
787,Bafia,Bandjoun,100
989,Bonaberi,Bandjoun,3300
107,Bonamoussadi,Bafia,3700
524,Mbandjock,Kumba,6900
592,Bali,Bali Nyonga,6300
483,Mbouda,Guider,4900
444,Mokolo,Mbandjock,8500
211,Yagoua,Dibombari,7500
201,Bonakouamouang,Bandjoun,900
191,Campo,Bafia,2300
739,Bonamoussadi,Bafoussam,3500
879,Mbalmayo,Kribi,500
326,Buea,Mutengene,2700
241,Mbalmayo,Bonamoussadi,100
2,Meiganga,Limbe,700
905,Fontem,Douala,9900
284,Mbanga,Bonabéri,3900
364,Edéa,Guider,6300
852,Bertoua,Bonakouamouang,3700
881,Buea,Bertoua,9900
701,Bali Nyonga,Bafang,1700
605,Maroua,Yagoua,4300
521,Bafoussam,Maroua,900
494,Limbe,Loum,300
260,Bonanjo,Belabo,2100
859,Guider,Bimbia,3900
621,Mbouda,Bafang,1100
21,Bafang,Messa,5900
414,Bonaberi,Nkongsamba,5500
442,Yagoua,Bertoua,4300
989,Campo,Dibombari,100
639,Bali,Garoua,900
518,Meiganga,Bonakouamouang,7700
712,Loum,Mbanga,2700
473,Douala,Bandjoun,7100
818,Bimbia,Bali Nyonga,6700
595,Figuif,Melong,900
748,Guider,Buea,1900
111,Beti,Garoua,4900
925,Yaounde,Buea,9500
950,Bali Nyonga,Muyuka,7700
464,Garoua,Kribi,7300
618,Bonaberi,Fontem,5900
90,Bertoua,Mbandjock,6100
137,Guider,Belo,2700
940,Bertoua,Bamenda,4300
544,Douala,Muyuka,4300
92,Kousseri,Bonanjo,7700
926,Bogo,Bali Nyonga,6300
852,Loum,Fontem,1700
336,Mutengene,Bali,5700
517,Banga Bakundu,Bimbia,3100
4,Mbanga,Bonaberi,2300
578,Bali Nyonga,Essos,9300
618,Bafia,Mbouda,7300
496,Guider,Bandjoun,1100
978,Loum,Figuif,9500
571,Buea,Bonanjo,6100
97,Belo,Campo,4900
200,Dibombari,Mbanga,4100
367,Kumba,Edéa,4900
546,Loum,Limbe,6700
509,Muyuka,Bafoussam,1500
311,Buea,Muyuka,7100
35,Bonabéri,Guider,300
784,Dibombari,Bandjoun,3300
136,Bertoua,Bandjoun,1900
677,Mbalmayo,Bonaberi,5900
769,Bali,Douala,8900
209,Melong,Batibo,6700
439,Kousseri,Batibo,9700
721,Kumba,Mbouda,7900
380,Banga Bakundu,Mbouda,9500
810,Bonakouamouang,Bamenda,3500
301,Meiganga,Garoua,2100
395,Muyuka,Bogo,1300
754,Campo,Mokolo,6500
664,Kribi,Messa,5500
707,Bonakouamouang,Mokolo,9100
767,Mbalmayo,Kumba,1900
795,Mora,Batibo,2700
858,Messa,Yagoua,7900
141,Mora,Essos,9900
309,Yaounde,Campo,4500
181,Limbe,Buea,2500
680,Figuif,Mbanga,500
509,Bali,Douala,1900
747,Buea,Bonaberi,2100
373,Bimbia,Campo,7300
277,Bali Nyonga,Mbouda,2100
245,Bali,Bafoussam,2100
576,Edéa,Bandjoun,7900
779,Bonaberi,Belabo,8300
252,Banga Bakundu,Mutengene,8100
845,Maroua,Mutengene,2100
382,Douala,Meiganga,8300
371,Yagoua,Edéa,1500
434,Bonaberi,Muyuka,2500
463,Mbouda,Mbalmayo,2300
213,Buea,Messa,5100
647,Essos,Muyuka,1500
380,Bali,Muyuka,9900
334,Nkongsamba,Yaounde,6900
671,Nkongsamba,Muyuka,7100
104,Maroua,Edéa,6500
808,Edéa,Campo,6300
39,Bonamoussadi,Bafia,8100
981,Guider,Bandjoun,4300
84,Kousseri,Bertoua,7900
947,Bogo,Mbanga,5100
343,Bonaberi,Bertoua,8900
130,Figuif,Mbandjock,5900
901,Buea,Mora,8700
630,Batibo,Bafia,1500
129,Figuif,Bogo,6500
825,Limbe,Bonabéri,4100
697,Mbanga,Mbandjock,1300
19,Maroua,Kousseri,4500
598,Mbandjock,Belabo,5900
455,Bonaberi,Belabo,5700
377,Bonakouamouang,Bonaberi,1900
664,Mutengene,Guider,3900
846,Bonakouamouang,Beti,5900
595,Bonabéri,Maroua,7900
396,Mora,Nkongsamba,4500
427,Bonamoussadi,Edéa,8300
414,Beti,Nanga-Eboko,700
853,Mbouda,Bonamoussadi,9300
788,Bali Nyonga,Boutours,2100
660,Mbalmayo,Bertoua,8100
366,Bonanjo,Garoua,2900
243,Bonabéri,Buea,2700
321,Bonabéri,Loum,6300
548,Meiganga,Bonakouamouang,3500
969,Bertoua,Bonanjo,5700
761,Edéa,Essos,3900
422,Nanga-Eboko,Bonaberi,4300
276,Melong,Bandjoun,3900
48,Bonaberi,Nkongsamba,5900
706,Bonakouamouang,Fontem,4700
797,Bamenda,Edéa,5900
481,Messa,Mora,9500
499,Bandjoun,Yagoua,7700
912,Douala,Mbalmayo,8100
723,Gazawa,Buea,3500
868,Limbe,Mokolo,6300
492,Belabo,Mbandjock,5500
64,Melong,Kumba,3700
157,Guider,Mutengene,7700
660,Maroua,Bafoussam,2300
95,Beti,Bimbia,700
870,Bertoua,Bonamoussadi,6100
455,Gazawa,Bafoussam,1300
860,Bamenda,Buea,1500
250,Bonamoussadi,Messa,6700
766,Mbalmayo,Kumba,2700
76,Mbanga,Meiganga,5100
766,Gazawa,Nkongsamba,7900
190,Gazawa,Bonakouamouang,8500
838,Banga Bakundu,Bonaberi,7100
987,Limbe,Mbanga,9300
272,Mutengene,Essos,2900
171,Bandjoun,Bali,8500
99,Mora,Bafoussam,2700
862,Dibombari,Garoua,4500
521,Bandjoun,Nanga-Eboko,8900
924,Bertoua,Kumba,2700
135,Bamenda,Bandjoun,8100
686,Garoua,Limbe,100
382,Bali,Guider,6100
700,Douala,Bamenda,4300
668,Boutours,Bonaberi,2900
482,Bafia,Dibombari,700
212,Belo,Buea,1300
342,Yaounde,Bafia,8700
928,Bafang,Mbanga,2900
234,Bonaberi,Bonamoussadi,6500
799,Mbalmayo,Dibombari,5500
154,Bonaberi,Buea,9100
